Horizon,Features,Model,Accuracy,Daily_IC,ICIR,Long_Return,Long_Sharpe,Long_MaxDD,Short_Return,Short_Sharpe,Short_MaxDD,Long_Return_TPSL,Long_Sharpe_TPSL,Short_Return_TPSL,Short_Sharpe_TPSL
21d,11,Transformer Regressor,0.4826413406926378,-0.0011587750853047614,-0.07965502414613759,0.11270672535380903,0.3625321660755998,-0.5339327236332322,0.08498422343624333,0.41405819158805696,-0.3314072627273743,0.5628262221907011,3.0743404749290186,0.36324944866304726,2.58133125027124
21d,50,LASSO,0.48038651382772496,0.017949540694447465,1.3546872896467723,0.1361009375108741,0.6237355770902916,-0.3252101904511909,0.029567623719240686,0.08456954219108596,-0.5897102147361349,0.4151485700699984,2.712908852488233,0.5254493882650388,2.858105109308703
21d,50,Elastic Net,0.4808630042517607,0.017687132482190712,1.365432758072309,0.13396887917321873,0.6134076030552025,-0.3291727033653283,0.023594244100843605,0.06814024945317357,-0.5888266445583016,0.4120323016490726,2.6979825608942836,0.5172253766986014,2.8394132718220093
21d,50,Random Forest,0.4936291465527072,0.011465240459903128,1.0317326111052862,0.026708109174696824,0.10987764114406207,-0.45201409015542576,-0.06703152399859681,-0.2318320691747582,-0.5057693254882607,0.33750917392587315,2.094248490137875,0.3232545714075372,2.026367927309007
21d,50,XGBoost,0.49396309710630487,0.010565283138293743,0.941852975982288,0.09323305372730857,0.398297347363183,-0.33016732503432106,-0.025443265058054,-0.0825279822726385,-0.5415528201247961,0.40314260748948183,2.486556774522801,0.3677420154283617,2.31913308164034
21d,50,Transformer,0.4807706927166199,0.017231772764584544,1.4493710023773596,0.14527181761142716,0.6727781369729188,-0.3674399193224762,0.03927905591953143,0.1278839579165814,-0.4543226479764435,0.40694469174971737,2.7293457080214334,0.48727052132699566,2.798821242847639
21d,50,LASSO Regressor,0.47908464967772413,0.0065549657917321515,0.4797490239423314,0.18277057521115742,0.6416215339629244,-0.42055875926778535,0.017928870352205816,0.07866393418356926,-0.3430737038087183,0.5903287245146654,3.2999004071510405,0.29133833792602515,2.0239546117556277
21d,50,Elastic Net Regressor,0.4782918564935735,0.008674392683166825,0.6472701217659618,0.1716795167611438,0.6074237297006327,-0.40001811198805043,0.00918089780321518,0.039602074420042245,-0.3614582284112583,0.5826119993914041,3.2741213678312406,0.28995486687034605,1.9932822985925287
21d,50,Random Forest Regressor,0.4924250240281496,0.012717837978963855,1.0480753046233626,0.1102409754787393,0.357463795931507,-0.4908345918513813,-0.08551365353368959,-0.29436334012541376,-0.5159412045569961,0.5688539913987992,3.1049299737911253,0.29565671881076805,1.8418584599690409
21d,50,XGBoost Regressor,0.48545007303471455,0.004833999296946736,0.37050896662929195,0.15124226383969336,0.5325694378763186,-0.3570901829842221,-0.0033259890893183,-0.011241587539255875,-0.5292128527135124,0.5692175377974059,3.1468327766684965,0.31826180013849925,2.025960609459225
21d,50,Transformer Regressor,0.47722755879430273,0.005645972264927032,0.4266988295964814,0.10534947939290198,0.3656304042606065,-0.4074948899062594,-0.04192470225459337,-0.200749783676554,-0.4202654110822546,0.5379283572797083,2.9335191288073683,0.21524470268292162,1.5519560207410676
21d,80,LASSO,0.48128053572038676,0.021864079259750004,1.668140378837271,0.14313779731311352,0.6396321641143777,-0.30674101923164715,-0.0226790436687838,-0.06453098377450335,-0.6204278702777403,0.4279095593983094,2.731637271508646,0.5029435731538301,2.7636941315493613
21d,80,Elastic Net,0.48547097611807716,0.01869098702937204,1.684197319745018,0.10115163839688984,0.4466835781581702,-0.3795230621868598,-0.0225442942922615,-0.07229242547514522,-0.5097782610143354,0.37883617156954147,2.4619246475139787,0.46371033861627514,2.700861436071433
21d,80,Random Forest,0.493554614096826,0.017491454462831908,1.8031515236531757,0.13164310150193628,0.5435979671478121,-0.3393922172817492,-0.039727140444988984,-0.12475973841826862,-0.5721195526916687,0.4401059854726403,2.6311308882129207,0.3766916683338241,2.2664051634957723
21d,80,XGBoost,0.4931634152174656,0.016223471988708844,1.6699685568573615,0.11517281036307608,0.4949792964794975,-0.33350779051477014,-0.011584049146434482,-0.038268464151621384,-0.4725231906321743,0.4328345751179072,2.6246037202219923,0.449010791021237,2.6688862630305503
21d,80,Transformer,0.4830605760360791,0.0237870245537353,1.6758172264586886,0.18145153658617028,0.7651274828952938,-0.33477996526119536,0.040219154791285606,0.11258576494867649,-0.5536872325864833,0.4760641062446134,2.9040482527166613,0.5696892248681646,2.9441746726471103
